date,nav
2025-04-17,182160.94340081117
2025-04-21,181684.79340081118
2025-04-22,182168.0634008112
2025-04-23,182332.7134008112
2025-04-24,182516.0534008112
2025-04-25,182395.9034008112
2025-04-28,182385.2234008112
2025-04-29,182472.44340081117
2025-04-30,183296.09887628668
2025-05-01,182768.9875149253
2025-05-02,183720.93394135174
2025-05-05,183427.78394135175
2025-05-06,183516.62394135175
2025-05-07,184359.68394135174
2025-05-08,184543.70394135173
2025-05-09,184650.01208135174
2025-05-12,186576.32208135174
2025-05-13,187174.83208135175
2025-05-14,186866.11208135175
2025-05-15,188086.6571564268
2025-05-16,188470.47715642682
2025-05-19,189315.8171564268
2025-05-20,188478.6271564268
2025-05-21,187101.5771564268
2025-05-22,187740.4971564268
2025-05-23,188262.50706633672
2025-05-27,190883.65706633672
2025-05-28,190638.39706633674
2025-05-29,191020.35706633673
2025-05-30,190977.59706633672
